violation_id,n_agents,manipulator,changed_other_agents,manipulator_assignment,truthful_manipulator_pref,misreport_manipulator_pref,truthful_profile,misreport_profile,truthful_allocation,misreport_allocation
37,3,0,"1,2",2,"{1,2} > {0}","{0,2} > {1}","A0: {1,2} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {0,2} > {1} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
38,3,0,"1,2",2,"{1,2} > {0}",{2} > {0} > {1},"A0: {1,2} > {0} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0: {2} > {0} > {1} | A1: {0} > {1,2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
39,3,0,"1,2",2,"{1,2} > {0}","{2} > {0,1}","A0: {1,2} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0: {2} > {0,1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
40,3,0,"1,2",2,"{1,2} > {0}",{2} > {1} > {0},"A0: {1,2} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}",A0: {2} > {1} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2},"A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
41,3,0,"1,2",2,"{1,2} > {0}","{0,2} > {1}","A0: {1,2} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0: {0,2} > {1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
42,3,0,"1,2",2,"{1,2} > {0}",{2} > {0} > {1},"A0: {1,2} > {0} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2}",A0: {2} > {0} > {1} | A1: {0} > {2} > {1} | A2: {0} > {1} > {2},"A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
43,3,0,"1,2",2,"{1,2} > {0}","{2} > {0,1}","A0: {1,2} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0: {2} > {0,1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
44,3,0,"1,2",2,"{1,2} > {0}",{2} > {1} > {0},"A0: {1,2} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}",A0: {2} > {1} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2},"A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
45,3,0,"1,2",2,"{1,2} > {0}","{0,2} > {1}","A0: {1,2} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0: {0,2} > {1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}","A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
46,3,0,"1,2",2,"{1,2} > {0}",{2} > {0} > {1},"A0: {1,2} > {0} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2}",A0: {2} > {0} > {1} | A1: {0} > {1} > {2} | A2: {0} > {1} > {2},"A0->2, A1->0, A2->1","A0->2, A1->1, A2->0"
47,3,1,"0,2",2,"{0,1,2}","{2} > {0,1}","A0: {1} > {0,2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
48,3,1,"0,2",2,"{0,1,2}","{1,2} > {0}","A0: {1} > {0,2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
49,3,1,"0,2",2,"{0,1,2}",{2} > {1} > {0},"A0: {1} > {0,2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
50,3,1,"0,2",2,"{0,1,2}",{2} > {0} > {1},"A0: {1} > {0,2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {2} > {0} > {1} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
51,3,1,"0,2",2,"{2} > {0,1}","{0,1,2}","A0: {1} > {0,2} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
52,3,1,"0,2",2,"{2} > {0,1}","{0,2} > {1}","A0: {1} > {0,2} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
53,3,1,"0,2",2,"{1,2} > {0}","{0,1,2}","A0: {1} > {0,2} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
54,3,1,"0,2",2,"{1,2} > {0}","{0,2} > {1}","A0: {1} > {0,2} | A1: {1,2} > {0} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
55,3,1,"0,2",2,{2} > {1} > {0},"{0,1,2}","A0: {1} > {0,2} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {0,1,2} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
56,3,1,"0,2",2,{2} > {1} > {0},"{0,2} > {1}","A0: {1} > {0,2} | A1: {2} > {1} > {0} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0->0, A1->2, A2->1","A0->1, A1->2, A2->0"
57,3,1,"0,2",2,"{0,2} > {1}","{2} > {0,1}","A0: {1} > {0,2} | A1: {0,2} > {1} | A2: {1} > {0} > {2}","A0: {1} > {0,2} | A1: {2} > {0,1} | A2: {1} > {0} > {2}","A0->1, A1->2, A2->0","A0->0, A1->2, A2->1"
